Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
CN110066012A,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN110066012A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN110065986A,RECOVERY RESOURCES,AMMONIUM SULFATE,,,
CN110065986A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN110065986A,RECOVERY SOURCES,AMMONIA CONTAINING WASTEWATER,,,
CN110041196A,RECOVERY RESOURCES,HYDROCARBON,,,
CN110041196A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN110041196A,RECOVERY TECHNOLOGY,EXTRACTION TREATMENT,,,
CN110041196A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110028174A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN110028174A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN110028174A,RECOVERY SOURCES,OTHER WASTEWATER,,,
US11299408B2,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
US11299408B2,RECOVERY TECHNOLOGY,PRECIPITATION,,,
US11299408B2,RECOVERY TECHNOLOGY,CRYSTALLIZATION,,,
US11299408B2,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
US11299408B2,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109990637A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109990637A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109990637A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109987593A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN109987593A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN109987593A,RECOVERY SOURCES,PHOSPHOROUS-CONTAINING WASTEWATER,,,
CN109974074A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109974074A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109974074A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN109974475A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109974475A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109974475A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109945373A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109945373A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109945373A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
JP6974140B2,RECOVERY RESOURCES,AMMONIA,,,
JP6974140B2,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
JP6974140B2,RECOVERY SOURCES,GENERAL WASTEWATER,,,
JP2019098206A,RECOVERY RESOURCES,AMMONIA,,,
JP2019098206A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
JP2019098206A,RECOVERY SOURCES,AMMONIA CONTAINING WASTEWATER,,,
CN109928540A,RECOVERY RESOURCES,GENERAL RESOURCES,,,
CN109928540A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109928540A,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN109928540A,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
JP2019093328A,RECOVERY RESOURCES,AMMONIA,,,
JP2019093328A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
JP2019093328A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109865146A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109865146A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109865146A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109850972A,RECOVERY RESOURCES,AMMONIA,,,
CN109850972A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109850972A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109827448A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109827448A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109827448A,RECOVERY SOURCES,OTHER WASTEWATER,,,
RU2688631C1,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
RU2688631C1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
RU2688631C1,RECOVERY SOURCES,PHOSPHOROUS-CONTAINING WASTEWATER,,,
CN109809431A,RECOVERY RESOURCES,AMMONIUM COMPOUNDS,,,
CN109809431A,RECOVERY RESOURCES,CARBON,,,
CN109809431A,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN109809431A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN109809431A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109813166A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109813166A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109813166A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109813165A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109813165A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109813165A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN109796118A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109796118A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109796118A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109775863A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109775863A,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN109775863A,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN109748376A,RECOVERY RESOURCES,GENERAL RESOURCES,,,
CN109748376A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN109748376A,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN109737487A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109737487A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109737487A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN109737487A,RECOVERED RESOURCE APPLICATIONS,PROCESSING DEVICES,,,
US20210199389A1,RECOVERY RESOURCES,HEAT/ ENERGY,,,
US20210199389A1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
US20210199389A1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
US20210199390A1,RECOVERY RESOURCES,HEAT/ ENERGY,,,
US20210199390A1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
US20210199390A1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109704502A,RECOVERY RESOURCES,AMMONIA,,,
CN109704502A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109704502A,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN109694161A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109694161A,RECOVERY RESOURCES,CARBON,,,
CN109694161A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109694161A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109694161A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109678303A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109678303A,RECOVERY RESOURCES,MICROALGAE,,,
CN109678303A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN109678303A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109678303A,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN109626729A,RECOVERY RESOURCES,ORGANIC ELEMENT,,,
CN109626729A,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN109626729A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109607566A,RECOVERY RESOURCES,AMMONIA,,,
CN109607566A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109607566A,RECOVERY SOURCES,AMMONIA CONTAINING WASTEWATER,,,
CN109607984A,RECOVERY RESOURCES,AMMONIA,,,
CN109607984A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN109607984A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
US11440825B2,RECOVERY RESOURCES,OTHER RESOURCES,,,
US11440825B2,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
US11440825B2,RECOVERY SOURCES,GENERAL INDUSTRIAL WASTE,,,
CN109592866A,RECOVERY RESOURCES,GENERAL RESOURCES,,,
CN109592866A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109592866A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109592866A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN109574351A,RECOVERY RESOURCES,AMMONIA,,,
CN109574351A,RECOVERY RESOURCES,NITROGEN,,,
CN109574351A,RECOVERY RESOURCES,OTHER ACIDS,,,
CN109574351A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN109574351A,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN109574958A,RECOVERY RESOURCES,HYDROCARBON,,,
CN109574958A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109574958A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109574453A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109574453A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109574453A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109574274A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109574274A,RECOVERY RESOURCES,SULFURIC ACID,,,
CN109574274A,RECOVERY RESOURCES,SODIUM COMPOUNDS,,,
CN109574274A,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN109574274A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN109574274A,RECOVERY SOURCES,ACIDIC WASTEWATER,,,
CN103011511A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN103011511A,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN103011511A,RECOVERY TECHNOLOGY,PRECIPITATION,,,
CN103011511A,RECOVERY TECHNOLOGY,AEROBIC TREATMENT,,,
CN103011511A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN103011511A,RECOVERY SOURCES,SEWAGE SLUDGE,,,
JP6129533B2,RECOVERY RESOURCES,OTHER METALS,,,
JP6129533B2,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
JP6129533B2,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
JP6129533B2,RECOVERY SOURCES,PHOSPHOROUS-CONTAINING WASTEWATER,,,
CN103849516A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849516A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849516A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849516A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849516A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849516A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103849515A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849515A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849515A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849515A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849515A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849515A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103849513A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849513A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849513A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849513A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849513A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849513A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103849514A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849514A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849514A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849514A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849514A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849514A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103849518A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849518A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849518A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849518A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849518A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849518A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103849429A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849429A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849429A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849429A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849429A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849429A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103849430A,RECOVERY RESOURCES,HYDROCARBON,,,
CN103849430A,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
CN103849430A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103849430A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103849430A,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN103849430A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN102944081A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102944081A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102944081A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN102927686A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102927686A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102954709A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102954709A,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN102954709A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102954709A,RECOVERED RESOURCE APPLICATIONS,POWER GENERATION,,,
CN102954709A,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN102954709A,RECOVERED RESOURCE APPLICATIONS,MEDICAL/ PHARMACEUTICAL/ BIOLOGICAL INDUSTRY,,,
CN102954709A,RECOVERED RESOURCE APPLICATIONS,METALLURGY/ COAL INDUSTRY,,,
CN102954709A,RECOVERED RESOURCE APPLICATIONS,PETROLEUM/ PETROCHEMICAL INDUSTRY,,,
CN102954709A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN102967160A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102967160A,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN102967160A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102863112A,RECOVERY RESOURCES,AMMONIA,,,
CN102863112A,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN102863112A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN102863112A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102863112A,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
JP2014079688A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
JP2014079688A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
JP2014079688A,RECOVERY TECHNOLOGY,PRECIPITATION,,,
JP2014079688A,RECOVERY SOURCES,PHOSPHOROUS-CONTAINING WASTEWATER,,,
CN102863330A,RECOVERY RESOURCES,OTHER ACIDS,,,
CN102863330A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN102863330A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102863330A,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN102863330A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN102863053A,RECOVERY RESOURCES,AMMONIA,,,
CN102863053A,RECOVERY RESOURCES,AMMONIUM SULFATE,,,
CN102863053A,RECOVERY TECHNOLOGY,FILTRATION,,,
CN102863053A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN102863053A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
JP2014054592A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
JP2014054592A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
JP2014054592A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
JP2014054592A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
US20130264185A1,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
US20130264185A1,RECOVERY SOURCES,GENERAL INDUSTRIAL WASTE,,,
CN102815677A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN102815677A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN102815677A,RECOVERY SOURCES,PHOSPHOROUS-CONTAINING WASTEWATER,,,
CN102815677A,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN102798249A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102798249A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102798249A,RECOVERED RESOURCE APPLICATIONS,POWER GENERATION,,,
CN102798249A,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN102798249A,RECOVERED RESOURCE APPLICATIONS,PETROLEUM/ PETROCHEMICAL INDUSTRY,,,
CN102798249A,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN103575136A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN103575136A,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN103575136A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN103185331A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN103185331A,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN103185331A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217535512U,RECOVERY RESOURCES,AMMONIA,,,
CN217535512U,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN217535512U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217535516U,RECOVERY RESOURCES,AMMONIA,,,
CN217535516U,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN217535516U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217511873U,RECOVERY RESOURCES,AMMONIA,,,
CN217511873U,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN217511873U,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN217516710U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217516710U,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN217516710U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217498730U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217498730U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217479255U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217479255U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
KR20220129225A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
KR20220129225A,RECOVERY TECHNOLOGY,PRECIPITATION,,,
KR20220129225A,RECOVERY TECHNOLOGY,FILTRATION,,,
KR20220129225A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
KR20220129225A,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN217465448U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217465448U,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN217465448U,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN217458883U,RECOVERY RESOURCES,AMMONIA,,,
CN217458883U,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN217458883U,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN217442340U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217442340U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN217442340U,RECOVERED RESOURCE APPLICATIONS,POWER GENERATION,,,
WO2022186452A1,RECOVERY RESOURCES,AMMONIA,,,
WO2022186452A1,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
WO2022186452A1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
WO2022186452A1,RECOVERY TECHNOLOGY,PRECIPITATION,,,
WO2022186452A1,RECOVERY TECHNOLOGY,ELECTROCHEMICAL TREATMENT,,,
WO2022186452A1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217367354U,RECOVERY RESOURCES,AMMONIA,,,
CN217367354U,RECOVERY RESOURCES,NITROGEN,,,
CN217367354U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN102690000A,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN102690000A,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
CN102690000A,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN102690000A,RECOVERY SOURCES,PHOSPHOROUS-CONTAINING WASTEWATER,,,
CN102980299A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102980299A,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN102980299A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103359862A,RECOVERY RESOURCES,AMMONIA,,,
CN103359862A,RECOVERY RESOURCES,AMMONIUM COMPOUNDS,,,
CN103359862A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN103359802A,RECOVERY RESOURCES,AMMONIA,,,
CN103359802A,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN103359802A,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN103359802A,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN102578028A,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN102578028A,RECOVERY SOURCES,GENERAL WASTEWATER,,,
FR2986020A1,RECOVERY RESOURCES,HEAT/ ENERGY,,,
FR2986020A1,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN217383934U,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN217383934U,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN217350814U,RECOVERY RESOURCES,AMMONIA,,,
CN217350814U,RECOVERY RESOURCES,NITROGEN,,,
CN217350814U,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN217350814U,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN217350814U,RECOVERED RESOURCE APPLICATIONS,ELECTRONICS/ SEMICONDUCTOR,,,
CN217350814U,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN217350814U,RECOVERED RESOURCE APPLICATIONS,MEDICAL/ PHARMACEUTICAL/ BIOLOGICAL INDUSTRY,,,
CN217340273U,RECOVERY RESOURCES,MICROALGAE,,,
CN217340273U,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN217340273U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN217350819U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217350819U,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN217350819U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217350819U,RECOVERED RESOURCE APPLICATIONS,METALLURGY/ COAL INDUSTRY,,,
CN217350819U,RECOVERED RESOURCE APPLICATIONS,FOOD INDUSTRY,,,
CN217350819U,RECOVERED RESOURCE APPLICATIONS,OTHER APPLICATIONS,,,
CN217351060U,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN217351060U,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN217351060U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
KR102439117B1,RECOVERY RESOURCES,HEAT/ ENERGY,,,
KR102439117B1,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
KR102439117B1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217323569U,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN217323569U,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN217323569U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN217323775U,RECOVERY TECHNOLOGY,PRECIPITATION,,,
CN217323775U,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN217323775U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN217323710U,RECOVERY RESOURCES,NITROGEN,,,
CN217323710U,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN217323710U,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
CN217323710U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN217323388U,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN217323388U,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN217323388U,RECOVERY TECHNOLOGY,PRECIPITATION,,,
CN217323388U,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN217323388U,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN217312720U,RECOVERY RESOURCES,AMMONIA,,,
CN217312720U,RECOVERY TECHNOLOGY,PRECIPITATION,,,
CN217244227U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217244227U,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN217244227U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217274177U,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN217274177U,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN217274177U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217274177U,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN217264971U,RECOVERY RESOURCES,NITROGEN,,,
CN217264971U,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN217264971U,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN217173497U,RECOVERY RESOURCES,AMMONIA,,,
CN217173497U,RECOVERY RESOURCES,AMMONIUM SULFATE,,,
CN217173497U,RECOVERY SOURCES,AMMONIA CONTAINING WASTEWATER,,,
CN217173328U,RECOVERY TECHNOLOGY,RECTIFICATION,,,
CN217173328U,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN217148862U,RECOVERY RESOURCES,AMMONIA,,,
CN217148862U,RECOVERY TECHNOLOGY,DEAMINATION ,,,
