Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
WO2022167240A1,DATA STORING/ SHARING TECHNOLOGIES,OTHER DATA STORING/ SHARING MEANS,,,
WO2022167240A1,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
WO2022167240A1,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
WO2022167240A1,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114862131A,DATA ANALYTICS,BIG DATA,,,
CN114862131A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114863284A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220250108A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220250108A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
US20220250108A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
US20220250108A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220250108A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220250108A1,PARAMETERS MONITORED,FARM YIELD,,,
US11406053B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US11406053B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
US11406053B1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US11406053B1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US11406053B1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US11406053B1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US11406053B1,PARAMETERS MONITORED,PLANT GROWTH,,,
US11406053B1,PARAMETERS MONITORED,FARM YIELD,,,
US11406053B1,PARAMETERS MONITORED,WEATHER,,,
US11406053B1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US11399531B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US11399531B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
US11399531B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
US11399531B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
US11399531B1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US11399531B1,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
US11399531B1,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
US11399531B1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US11399531B1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US11399531B1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
US11399531B1,PARAMETERS MONITORED,PLANT GROWTH,,,
US11399531B1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
DE102021101356A1,PARAMETERS MONITORED,WEATHER,,,
DE102021101356A1,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114788470A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
CN114788470A,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
CN114788470A,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
CN114788470A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN114788470A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114788470A,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
CN114788470A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114788470A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114788470A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114782837B,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114782837B,PARAMETERS MONITORED,FARM YIELD,,,
CN114782837B,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114782837B,APPLICATIONS,PREDICTIONS,YIELD,,
CN114782369A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114782369A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114779861A,DATA ANALYTICS,IOT,,,
US20220237912A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220237912A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220237912A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220237912A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220232763A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220232763A1,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
US20220232763A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220232763A1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
IN202241037444A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241037444A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
IN202241037444A,DATA ANALYTICS,IOT,,,
IN202241037444A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220215659A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220215659A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
WO2022145373A1,PARAMETERS MONITORED,PLANT GROWTH,,,
WO2022145373A1,PARAMETERS MONITORED,OTHER PARAMETERS,,,
WO2022145373A1,APPLICATIONS,PREDICTIONS,FERTILIZATION,,
CN114708068A,DATA ANALYTICS,IOT,,,
CN114708068A,DATA ANALYTICS,BIG DATA,,,
CN114708068A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN114708068A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
WO2022136168A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
WO2022136168A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
WO2022136168A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
WO2022136168A1,PARAMETERS MONITORED,PLANT GROWTH,,,
WO2022136168A1,APPLICATIONS,PREDICTIONS,YIELD,,
CN114663116A,DATA ANALYTICS,BIG DATA,,,
US20220192099A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220192099A1,DATA STORING/ SHARING TECHNOLOGIES,WEB-BASED,,,
US20220192099A1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US20220192099A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220192099A1,PARAMETERS MONITORED,PLANT GROWTH,,,
US20220192099A1,PARAMETERS MONITORED,FARM YIELD,,,
US20220192099A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220192099A1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
US20220196877A1,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
US20220196877A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220196877A1,PARAMETERS MONITORED,FARM YIELD,,,
US20220196877A1,PARAMETERS MONITORED,WEATHER,,,
US20220196877A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
IN202241032643A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241032643A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202241032643A,PARAMETERS MONITORED,PLANT GROWTH,,,
IN202241032643A,PARAMETERS MONITORED,WEATHER,,,
IN202241032643A,APPLICATIONS,PREDICTIONS,YIELD,,
EP4014711A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
EP4014711A1,PARAMETERS MONITORED,WEATHER,,,
EP4014711A1,PARAMETERS MONITORED,OTHER PARAMETERS,,,
EP4016112A2,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
EP4016112A2,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
EP4016112A2,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
EP4016112A2,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
EP4016112A2,COMMUNICATION TECHNOLOGIES,WI-FI,,,
EP4016112A2,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
EP4016112A2,PARAMETERS MONITORED,CROP DAMAGE,,,
EP4016112A2,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
US20220192175A1,DATA STORING/ SHARING TECHNOLOGIES,OTHER DATA STORING/ SHARING MEANS,,,
US20220192175A1,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
US20220192175A1,PARAMETERS MONITORED,OTHER PARAMETERS,,,
US20220180526A1,PARAMETERS MONITORED,FARM YIELD,,,
CN114548489A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114548489A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114548489A,PARAMETERS MONITORED,WEATHER,,,
US20220172467A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220172467A1,DATA STORING/ SHARING TECHNOLOGIES,OTHER DATA STORING/ SHARING MEANS,,,
US20220172467A1,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
US20220172467A1,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
US20220172467A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220172467A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220172467A1,PARAMETERS MONITORED,FARM YIELD,,,
US20220172467A1,PARAMETERS MONITORED,CROP DAMAGE,,,
IN202241025846A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241025846A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
IN202241025846A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
IN202241025846A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220164736A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220164736A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
US20220164736A1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US20220164736A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220164736A1,PARAMETERS MONITORED,PLANT GROWTH,,,
US20220164736A1,PARAMETERS MONITORED,FARM YIELD,,,
US20220164736A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220164736A1,APPLICATIONS,PREDICTIONS,YIELD,,
IN202241020107A,DATA ANALYTICS,IOT,,,
IN202241020107A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202241020107A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202241020107A,PARAMETERS MONITORED,PLANT GROWTH,,,
IN202241020107A,APPLICATIONS,PREDICTIONS,YIELD,,
IN202241020107A,APPLICATIONS,INTELLIGENT SYSTEM/DECISION MAKING,,,
IN202241021476A,DATA ANALYTICS,IOT,,,
IN202241021476A,DATA STORING/ SHARING TECHNOLOGIES,OTHER DATA STORING/ SHARING MEANS,,,
IN202241021476A,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
IN202241021476A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202241021476A,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
IN202241021476A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202241021476A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202241021476A,APPLICATIONS,PREDICTIONS,YIELD,,
CN114511170A,DATA ANALYTICS,IOT,,,
CN114511170A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114511170A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114511170A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
CN114511170A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN216526921U,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114493347A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
CN114493347A,DATA ANALYTICS,IOT,,,
CN114493347A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114493347A,DATA STORING/ SHARING TECHNOLOGIES,DEVICE MEMORY,,,
CN114493347A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN114493347A,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
CN114493347A,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
CN114493347A,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
CN114493347A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN114493347A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114493347A,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
CN114493347A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114493347A,PARAMETERS MONITORED,PEST AND DISEASE,,,
CN114493347A,PARAMETERS MONITORED,WEATHER,,,
CN114493347A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114493347A,APPLICATIONS,PREDICTIONS,YIELD,,
CN114493347A,APPLICATIONS,PREDICTIONS,COST,,
CN114493347A,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
US20220156917A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220156917A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
US20220156917A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
US20220156917A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220156917A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220156917A1,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
US20220156917A1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US20220156917A1,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
US20220156917A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220156917A1,APPLICATIONS,PREDICTIONS,YIELD,,
US20220156917A1,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
US20220156670A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220156670A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
US20220156670A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220156670A1,PARAMETERS MONITORED,FARM YIELD,,,
US20220156670A1,PARAMETERS MONITORED,WEATHER,,,
US20220156670A1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
US20220156670A1,APPLICATIONS,PREDICTIONS,YIELD,,
US20220156603A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220156603A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220156603A1,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
US20220156603A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220156603A1,APPLICATIONS,PREDICTIONS,YIELD,,
IN202241022994A,DATA ANALYTICS,IOT,,,
IN202241022994A,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
IN202241022994A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
IN202241022994A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202241022994A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202241022994A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202241022994A,PARAMETERS MONITORED,PEST AND DISEASE,,,
IN202241022994A,PARAMETERS MONITORED,PLANT GROWTH,,,
IN202241022994A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
IN202241022994A,APPLICATIONS,PREDICTIONS,GROWTH,,
IN202241022994A,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
IN202211022962A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202211022962A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
IN202211022962A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
IN202211022962A,DATA ANALYTICS,IOT,,,
IN202211022962A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202211022962A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202211022962A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
IN202211022962A,APPLICATIONS,PREDICTIONS,COST,,
CN216486137U,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN216486137U,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN216486137U,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN216486137U,APPLICATIONS,PREDICTIONS,GROWTH,,
CN216486137U,APPLICATIONS,PREDICTIONS,YIELD,,
CN114463577A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114463577A,DATA STORING/ SHARING TECHNOLOGIES,DEVICE MEMORY,,,
CN114463577A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114463577A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114463577A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114417604A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114417604A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114417604A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220138464A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220138464A1,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
US20220138464A1,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
US20220138464A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220138464A1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
US20220137023A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220137023A1,DATA ANALYTICS,IOT,,,
US20220137023A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220137023A1,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
US20220137023A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220137023A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220137023A1,APPLICATIONS,PREDICTIONS,GROWTH,,
US20220137023A1,APPLICATIONS,PREDICTIONS,SOIL PROPERTIES,,
US20220137024A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220137024A1,DATA ANALYTICS,IOT,,,
US20220137024A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220137024A1,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
US20220137024A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220137024A1,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
US20220137024A1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
US20220137024A1,PARAMETERS MONITORED,WEATHER,,,
US20220137024A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220137024A1,APPLICATIONS,PREDICTIONS,SOIL PROPERTIES,,
US20220138987A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220138987A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220138987A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220138987A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220138987A1,PARAMETERS MONITORED,PEST AND DISEASE,,,
US20220138987A1,PARAMETERS MONITORED,FARM YIELD,,,
US20220138987A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220138987A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220138987A1,APPLICATIONS,DATA REPRESENTATION,TABLES,,
US20220138987A1,APPLICATIONS,PREDICTIONS,YIELD,,
US20220132729A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220132729A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220132729A1,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
US20220132729A1,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
US20220132729A1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US20220132729A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220132729A1,APPLICATIONS,PREDICTIONS,YIELD,,
US20220132729A1,APPLICATIONS,INTELLIGENT SYSTEM/DECISION MAKING,,,
US20220132721A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220132721A1,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
US20220132721A1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US20220132721A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220132721A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114385715A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114385715A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN114385715A,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
CN114385715A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN114385715A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114385715A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114385715A,APPLICATIONS,INTELLIGENT SYSTEM/DECISION MAKING,,,
US20220129673A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220129673A1,DATA ANALYTICS,IOT,,,
US20220129673A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220129673A1,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
US20220129673A1,PARAMETERS MONITORED,WEATHER,,,
US20220129673A1,PARAMETERS MONITORED,OTHER PARAMETERS,,,
US20220129673A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220129673A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220129673A1,APPLICATIONS,PREDICTIONS,YIELD,,
IN202241016901A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241016901A,DATA ANALYTICS,IOT,,,
IN202241016901A,DATA ANALYTICS,BIG DATA,,,
IN202241016901A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202241016901A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114357781A,DATA ANALYTICS,BIG DATA,,,
CN114357781A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114357781A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114357781A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114357781A,PARAMETERS MONITORED,WEATHER,,,
CN114357781A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220121206A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220121206A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220121206A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
US20220121206A1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
US20220121206A1,APPLICATIONS,DATA REPRESENTATION,TABLES,,
US20220121206A1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
US20220274207A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
US20220274207A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
US20220274207A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
US20220274207A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
US20220274207A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US20220274207A1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US20220274207A1,COMMUNICATION TECHNOLOGIES,CELLULAR,5G,,
US20220274207A1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US20220274207A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US20220274207A1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
US20220274207A1,PARAMETERS MONITORED,PLANT GROWTH,,,
US20220274207A1,APPLICATIONS,PREDICTIONS,GROWTH,,
US20220274207A1,APPLICATIONS,PREDICTIONS,YIELD,,
US20220274207A1,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
BR122021019410A2,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
WO2022074244A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
WO2022074244A1,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
WO2022074244A1,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
WO2022074244A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
WO2022074244A1,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
WO2022074244A1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
WO2022074244A1,PARAMETERS MONITORED,FARM YIELD,,,
WO2022074244A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
EP3981244A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
EP3981244A1,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
EP3981244A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
EP3981244A1,COMMUNICATION TECHNOLOGIES,OTHER COMMUNICATION MEANS,,,
EP3981244A1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
EP3981244A1,PARAMETERS MONITORED,FARM YIELD,,,
EP3981244A1,APPLICATIONS,DATA REPRESENTATION,FIELD MAP GENERATION,,
